Name,Year,Search_URL
Steve Ballmer,2019,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Steve Ballmer,2011,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2011,cd_max:12/31/2011"
Steve Ballmer,2012,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2012,cd_max:12/31/2012"
Steve Ballmer,2013,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2013,cd_max:12/31/2013"
Steve Ballmer,2014,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2014,cd_max:12/31/2014"
Steve Ballmer,2015,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2015,cd_max:12/31/2015"
Steve Ballmer,2016,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2016,cd_max:12/31/2016"
Steve Ballmer,2017,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2017,cd_max:12/31/2017"
Steve Ballmer,2018,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2018,cd_max:12/31/2018"
Steve Ballmer,2019,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Steve Ballmer,2012,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2012,cd_max:12/31/2012"
Steve Ballmer,2013,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2013,cd_max:12/31/2013"
Steve Ballmer,2014,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2014,cd_max:12/31/2014"
Steve Ballmer,2015,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2015,cd_max:12/31/2015"
Steve Ballmer,2016,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2016,cd_max:12/31/2016"
Steve Ballmer,2017,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2017,cd_max:12/31/2017"
Steve Ballmer,2018,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2018,cd_max:12/31/2018"
Steve Ballmer,2019,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Steve Ballmer,2013,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2013,cd_max:12/31/2013"
Steve Ballmer,2014,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2014,cd_max:12/31/2014"
Steve Ballmer,2015,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2015,cd_max:12/31/2015"
Steve Ballmer,2016,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2016,cd_max:12/31/2016"
Steve Ballmer,2017,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2017,cd_max:12/31/2017"
Steve Ballmer,2018,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2018,cd_max:12/31/2018"
Steve Ballmer,2019,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Satya Nadella,2014,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2014,cd_max:12/31/2014"
Satya Nadella,2015,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2015,cd_max:12/31/2015"
