Ticker,CEO,Year,Age,dominant_gender,dominant_race,dominant_emotion,Woman,Man,asian,indian,black,white,middle eastern,latino hispanic,angry,disgust,fear,happy,sad,surprise,neutral
ADBE,Shantanu Narayen,2016,26,Man,black,fear,1.5749103,98.42509,3.3538017,1.1133833,94.06347,0.19652317,0.056988887,1.2158421,3.0923152,0.013751744,82.90284,0.1310037,3.2867649,0.52066326,10.052657
ADBE,Shantanu Narayen,2017,43,Man,indian,neutral,0.0002579825,99.99974,5.117781,33.337273,9.123,12.891615,23.027908,16.502424,5.4077897,2.0577977e-06,0.019766469,1.8297209,0.34756172,0.04346865,92.35169
ADBE,Shantanu Narayen,2018,42,Man,latino hispanic,neutral,0.00029813335,99.9997,23.545237,17.290981,8.627684,12.042792,13.729536,24.763775,14.845206,5.6687943e-09,0.0042810594,0.11559352,0.5318423,0.0001637666,84.502914
ADBE,Shantanu Narayen,2019,43,Man,asian,angry,48.532803,51.467194,25.114086,13.633114,14.096178,14.71871,14.585367,17.852545,81.841576,0.0015924148,0.05046733,2.0299532,2.901255,2.6170995,10.558059
CSCO,John T. Chambers,2011,31,Man,white,angry,0.04840601,99.95159,0.00040098475,3.3534965e-05,5.0192574e-07,99.84271,0.056257498,0.10060337,70.96909,0.069969736,0.047737285,25.928467,0.29274374,1.7892104e-05,2.6919732
CSCO,John T. Chambers,2012,43,Man,asian,sad,0.0640338,99.93597,76.743416,0.15249772,0.090662345,19.132298,1.0696949,2.8114295,11.716137,0.0042062365,4.2763457,9.094257,61.603493,0.26351646,13.04205
CSCO,John T. Chambers,2013,33,Man,asian,sad,0.065398626,99.93459,51.005035,3.4896998,3.3001144,17.79648,4.4555025,19.953165,14.354258,8.4966385e-05,6.653239,0.004992773,75.14737,0.0005491,3.839502
CSCO,John T. Chambers,2014,41,Man,white,neutral,0.014428833,99.985565,0.016796516,0.009529274,0.0002627193,97.9394,0.7249866,1.3090189,0.0011815962,4.557393e-13,1.836237e-05,0.55025655,0.003133916,1.826183e-07,99.44541
CSCO,Chuck Robbins,2015,39,Man,white,happy,0.39133105,99.60867,0.11499665,0.1852061,0.02173658,77.87091,9.279662,12.527488,0.70982295,0.0025009105,0.07668647,95.98791,0.5547952,0.12216476,2.5461185
CSCO,Chuck Robbins,2016,32,Man,white,happy,0.063638404,99.93636,3.2909284,3.4436524,0.8225915,44.074802,18.228104,30.139915,4.3820777,1.0087906,0.21386006,86.09788,7.09955,0.03393682,1.1639136
